"age","degree","familiarity","confidence","gender_female","gender_male","gender_other","field_of_study_econ","field_of_study_engineer","field_of_study_law","field_of_study_med","field_of_study_na","field_of_study_natural","field_of_study_other","field_of_study_other_social","field_of_study_politics","field_of_study_psych","employment_full","employment_no","employment_part","sent_back0","sent_back1","sent_back2","sent_back3","sent_back4","sent_back5"
40,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,3,4,5
29,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
27,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,3,4,8,10
37,1,3,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,2,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,5,7,8,10
31,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,3,4,5
54,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,3,4,5
46,1,3,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,4,5,10
38,1,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,6,7,9,10
34,2,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,6,8,10
64,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,6,8,13
53,1,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,4,6,7
44,1,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,4,6,8,9
25,2,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,6,8,10
34,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,6,8,10
23,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,3,4,5
37,1,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,6,8,12
51,2,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,6,8,10
37,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,4,6,8,10
27,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,6,8,10
44,1,2,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,4,5
38,3,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,6,8,10
33,3,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,3,4
19,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,8,11,14,17,20
23,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,4,5,7,8,10
28,2,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,4,6,8,10
22,2,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,4,7,8,10
22,2,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,5,6,8
26,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,6,6,6
29,1,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,2,3,4,5,6,10
